Test cases,Pantry,Special Occasion,Diet Types,Number of People,Full Matched,Valid,,
TC-P-01,None,Birthday,Vegetarian Diet,1,OFF,True,,
TC-P-02,None,None,All check,10,OFF,True,,
TC-P-03,None,New Year,uncheck,1,ON,True,,
TC-P-04,None,New Year,Vegetarian Diet,10,ON,True,,
TC-P-05,None,Birthday,Low-Glycemic Index Diet,100,ON,True,,
TC-P-06,None,Easter,uncheck,100,OFF,True,,
TC-P-07,None,None,Low-Glycemic Index Diet,10,OFF,True,,
TC-P-08,None,Birthday,uncheck,10,ON,True,,
TC-P-09,None,None,Vegetarian Diet,100,ON,True,,
TC-P-10,None,Christmas,Low-Glycemic Index Diet,1,ON,True,,
TC-P-11,None,New Year,All check,100,OFF,True,,
TC-P-12,None,Christmas,All check,10,OFF,True,,
TC-P-13,None,New Year,Low-Glycemic Index Diet,10,ON,True,,
TC-P-14,None,Easter,Low-Glycemic Index Diet,10,ON,True,,
TC-P-15,None,Easter,Vegetarian Diet,1,OFF,True,,
TC-P-16,None,Birthday,Gastritis-Friendly Diet,100,OFF,True,,
TC-P-17,None,Christmas,Gastritis-Friendly Diet,100,ON,True,,
TC-P-18,None,Christmas,Vegetarian Diet,10,OFF,True,,
TC-P-19,None,None,Gastritis-Friendly Diet,1,OFF,True,,
TC-P-20,None,None,uncheck,100,ON,True,,
TC-P-21,None,Easter,All check,1,ON,True,,
TC-P-22,None,Birthday,All check,10,ON,True,,
TC-P-23,None,Christmas,uncheck,10,ON,True,,
TC-P-24,None,Easter,Gastritis-Friendly Diet,10,ON,True,,
TC-P-25,None,New Year,Gastritis-Friendly Diet,10,ON,True,,
TC-N-26,None,NA,NA,101,NA,False,,
TC-N-27,None,NA,NA,0,NA,False,,
TC-N-28,None,None,uncheck,EMPTY,OFF,False,,
